date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-13 13:03:00,10.55,10.56,10.56,10.54,1461.0,1542151.0,10.458,,
2026-01-13 13:04:00,10.56,10.58,10.59,10.56,2570.0,2716432.0,10.46,,
2026-01-13 13:05:00,10.58,10.57,10.59,10.56,3016.0,3190494.0,10.462,,
2026-01-13 13:06:00,10.57,10.56,10.57,10.56,1634.0,1727032.0,10.463,,
2026-01-13 13:07:00,10.56,10.56,10.58,10.56,1926.0,2036629.0,10.464,,
2026-01-13 13:08:00,10.56,10.57,10.57,10.56,1072.0,1133013.0,10.464,,
2026-01-13 13:09:00,10.57,10.57,10.58,10.57,1347.0,1424216.0,10.465,,
2026-01-13 13:10:00,10.57,10.54,10.57,10.54,1439.0,1519405.0,10.465,,
2026-01-13 13:11:00,10.54,10.56,10.56,10.54,1005.0,1060087.0,10.466,,
2026-01-13 13:12:00,10.56,10.53,10.56,10.53,1371.0,1446497.0,10.466,,
2026-01-13 13:13:00,10.53,10.52,10.54,10.52,799.0,841346.0,10.467,,
2026-01-13 13:14:00,10.52,10.52,10.53,10.52,204.0,214689.0,10.467,,
2026-01-13 13:15:00,10.52,10.5,10.52,10.5,1639.0,1722982.0,10.467,,
2026-01-13 13:16:00,10.5,10.5,10.5,10.49,814.0,854320.0,10.467,,
2026-01-13 13:17:00,10.5,10.49,10.5,10.49,592.0,621335.0,10.467,,
2026-01-13 13:18:00,10.49,10.5,10.52,10.5,1638.0,1721185.0,10.468,,
2026-01-13 13:19:00,10.5,10.51,10.51,10.5,233.0,244869.0,10.468,,
2026-01-13 13:20:00,10.51,10.5,10.51,10.5,516.0,541894.0,10.468,,
2026-01-13 13:21:00,10.5,10.49,10.5,10.49,805.0,845094.0,10.468,,
2026-01-13 13:22:00,10.49,10.48,10.49,10.48,748.0,784481.0,10.468,,
2026-01-13 13:23:00,10.48,10.49,10.49,10.49,566.0,593657.0,10.468,,
2026-01-13 13:24:00,10.49,10.5,10.5,10.48,559.0,586781.0,10.468,,
2026-01-13 13:25:00,10.5,10.48,10.5,10.48,1281.0,1343926.0,10.468,,
2026-01-13 13:26:00,10.48,10.48,10.49,10.47,732.0,767254.0,10.468,,
