date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-23 13:25:00,6.14,6.14,6.15,6.14,0.0,0.0,347.0,213118.0,0.16,0.01,,
2026-01-23 13:30:00,6.14,6.13,6.15,6.13,-0.16,-0.01,2733.0,1678617.0,0.33,0.05,,
2026-01-23 13:35:00,6.13,6.15,6.15,6.13,0.33,0.02,571.0,350634.0,0.33,0.01,,
2026-01-23 13:40:00,6.15,6.15,6.15,6.14,0.0,0.0,81.0,49798.0,0.16,0.0,,
2026-01-23 13:45:00,6.14,6.14,6.15,6.14,-0.16,-0.01,400.0,245878.0,0.16,0.01,,
2026-01-23 13:50:00,6.14,6.15,6.15,6.14,0.16,0.01,491.0,301959.0,0.16,0.01,,
2026-01-23 13:55:00,6.14,6.14,6.15,6.14,-0.16,-0.01,107.0,65772.0,0.16,0.0,,
2026-01-23 14:00:00,6.14,6.15,6.15,6.14,0.16,0.01,1053.0,647543.0,0.16,0.02,,
2026-01-23 14:05:00,6.14,6.14,6.15,6.14,-0.16,-0.01,2331.0,1431321.0,0.16,0.04,,
2026-01-23 14:10:00,6.15,6.14,6.15,6.14,0.0,0.0,1624.0,997446.0,0.16,0.03,,
2026-01-23 14:15:00,6.14,6.14,6.15,6.14,0.0,0.0,245.0,150489.0,0.16,0.0,,
2026-01-23 14:20:00,6.15,6.15,6.15,6.14,0.16,0.01,2136.0,1313633.0,0.16,0.04,,
2026-01-23 14:25:00,6.15,6.15,6.16,6.15,0.0,0.0,1021.0,627950.0,0.16,0.02,,
2026-01-23 14:30:00,6.15,6.15,6.15,6.14,0.0,0.0,1062.0,653129.0,0.16,0.02,,
2026-01-23 14:35:00,6.15,6.14,6.16,6.14,-0.16,-0.01,1562.0,961475.0,0.33,0.03,,
2026-01-23 14:40:00,6.14,6.13,6.15,6.13,-0.16,-0.01,2536.0,1557001.0,0.33,0.04,,
2026-01-23 14:45:00,6.14,6.14,6.15,6.14,0.16,0.01,1241.0,761994.0,0.16,0.02,,
2026-01-23 14:50:00,6.15,6.14,6.15,6.14,0.0,0.0,2160.0,1326572.0,0.16,0.04,,
2026-01-23 14:55:00,6.15,6.15,6.15,6.14,0.16,0.01,1526.0,937724.0,0.16,0.03,,
2026-01-23 15:00:00,6.15,6.16,6.17,6.14,0.16,0.01,3409.0,2098693.0,0.49,0.06,,
2026-01-26 09:35:00,6.15,6.15,6.17,6.13,-0.16,-0.01,6269.0,3856516.0,0.65,0.11,,
2026-01-26 09:40:00,6.16,6.14,6.16,6.13,-0.16,-0.01,2139.0,1314112.0,0.49,0.04,,
2026-01-26 09:45:00,6.14,6.13,6.14,6.12,-0.16,-0.01,2748.0,1684327.0,0.33,0.05,,
2026-01-26 09:50:00,6.13,6.1,6.13,6.1,-0.49,-0.03,6726.0,4112110.0,0.49,0.12,,
2026-01-26 09:55:00,6.1,6.09,6.11,6.09,-0.16,-0.01,5447.0,3320930.0,0.33,0.1,,
2026-01-26 10:00:00,6.09,6.09,6.1,6.08,0.0,0.0,2454.0,1494721.0,0.33,0.04,,
2026-01-26 10:05:00,6.09,6.09,6.11,6.09,0.0,0.0,3886.0,2369168.0,0.33,0.07,,
2026-01-26 10:10:00,6.09,6.1,6.11,6.08,0.16,0.01,1204.0,733555.0,0.49,0.02,,
2026-01-26 10:15:00,6.1,6.1,6.11,6.1,0.0,0.0,1373.0,838177.0,0.16,0.02,,
2026-01-26 10:20:00,6.1,6.1,6.11,6.09,0.0,0.0,984.0,600224.0,0.33,0.02,,
2026-01-26 10:25:00,6.1,6.1,6.11,6.1,0.0,0.0,999.0,609517.0,0.16,0.02,,
2026-01-26 10:30:00,6.11,6.1,6.11,6.1,0.0,0.0,202.0,123233.0,0.16,0.0,,
2026-01-26 10:35:00,6.1,6.13,6.13,6.1,0.49,0.03,2174.0,1328842.0,0.49,0.04,,
2026-01-26 10:40:00,6.13,6.12,6.13,6.12,-0.16,-0.01,1191.0,729710.0,0.16,0.02,,
2026-01-26 10:45:00,6.12,6.12,6.13,6.12,0.0,0.0,304.0,185751.0,0.16,0.01,,
2026-01-26 10:50:00,6.13,6.13,6.15,6.12,0.16,0.01,3263.0,2002130.0,0.49,0.06,,
2026-01-26 10:55:00,6.13,6.15,6.15,6.13,0.33,0.02,631.0,387507.0,0.33,0.01,,
2026-01-26 11:00:00,6.15,6.15,6.16,6.14,0.0,0.0,2037.0,1252262.0,0.33,0.04,,
2026-01-26 11:05:00,6.16,6.16,6.16,6.15,0.16,0.01,666.0,409670.0,0.16,0.01,,
2026-01-26 11:10:00,6.16,6.16,6.16,6.15,0.0,0.0,455.0,279931.0,0.16,0.01,,
2026-01-26 11:15:00,6.16,6.18,6.19,6.16,0.32,0.02,5862.0,3617977.0,0.49,0.1,,
2026-01-26 11:20:00,6.18,6.22,6.22,6.17,0.65,0.04,7433.0,4607016.0,0.81,0.13,,
2026-01-26 11:25:00,6.22,6.2,6.22,6.2,-0.32,-0.02,2856.0,1773644.0,0.32,0.05,,
2026-01-26 11:30:00,6.21,6.19,6.21,6.19,-0.16,-0.01,1920.0,1189084.0,0.32,0.03,,
2026-01-26 13:05:00,6.19,6.18,6.2,6.18,-0.16,-0.01,1137.0,703779.0,0.32,0.02,,
