date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-19 13:25:00,6.08,6.07,6.08,6.07,-0.16,-0.01,951.0,577725.0,0.16,0.02,,
2026-01-19 13:30:00,6.07,6.07,6.08,6.07,0.0,0.0,1553.0,943404.0,0.16,0.03,,
2026-01-19 13:35:00,6.08,6.08,6.08,6.07,0.16,0.01,151.0,91732.0,0.16,0.0,,
2026-01-19 13:40:00,6.08,6.08,6.08,6.07,0.0,0.0,105.0,63786.0,0.16,0.0,,
2026-01-19 13:45:00,6.07,6.08,6.08,6.07,0.0,0.0,1089.0,661120.0,0.16,0.02,,
2026-01-19 13:50:00,6.08,6.08,6.08,6.07,0.0,0.0,360.0,218875.0,0.16,0.01,,
2026-01-19 13:55:00,6.07,6.07,6.08,6.07,-0.16,-0.01,495.0,300476.0,0.16,0.01,,
2026-01-19 14:00:00,6.07,6.08,6.08,6.07,0.16,0.01,161.0,97867.0,0.16,0.0,,
2026-01-19 14:05:00,6.07,6.08,6.08,6.07,0.0,0.0,168.0,101978.0,0.16,0.0,,
2026-01-19 14:10:00,6.08,6.08,6.08,6.07,0.0,0.0,166.0,100796.0,0.16,0.0,,
2026-01-19 14:15:00,6.08,6.07,6.08,6.07,-0.16,-0.01,1373.0,834729.0,0.16,0.02,,
2026-01-19 14:20:00,6.07,6.08,6.08,6.07,0.16,0.01,32.0,19449.0,0.16,0.0,,
2026-01-19 14:25:00,6.07,6.07,6.08,6.07,-0.16,-0.01,205.0,124446.0,0.16,0.0,,
2026-01-19 14:30:00,6.07,6.08,6.08,6.07,0.16,0.01,960.0,583023.0,0.16,0.02,,
2026-01-19 14:35:00,6.07,6.08,6.08,6.07,0.0,0.0,348.0,211545.0,0.16,0.01,,
2026-01-19 14:40:00,6.08,6.08,6.08,6.07,0.0,0.0,511.0,310391.0,0.16,0.01,,
2026-01-19 14:45:00,6.07,6.08,6.08,6.07,0.0,0.0,3284.0,1996123.0,0.16,0.06,,
2026-01-19 14:50:00,6.08,6.08,6.08,6.07,0.0,0.0,4169.0,2534565.0,0.16,0.07,,
2026-01-19 14:55:00,6.08,6.08,6.08,6.07,0.0,0.0,2337.0,1420677.0,0.16,0.04,,
2026-01-19 15:00:00,6.08,6.09,6.09,6.07,0.16,0.01,7593.0,4618726.0,0.33,0.13,,
2026-01-20 09:35:00,6.1,6.1,6.1,6.06,0.16,0.01,1737.0,1057530.0,0.66,0.03,,
2026-01-20 09:40:00,6.1,6.11,6.12,6.09,0.16,0.01,4917.0,3002195.0,0.49,0.09,,
2026-01-20 09:45:00,6.1,6.09,6.1,6.09,-0.33,-0.02,2017.0,1229927.0,0.16,0.04,,
2026-01-20 09:50:00,6.09,6.1,6.11,6.09,0.16,0.01,1780.0,1086464.0,0.33,0.03,,
2026-01-20 09:55:00,6.1,6.1,6.11,6.1,0.0,0.0,1588.0,969521.0,0.16,0.03,,
2026-01-20 10:00:00,6.11,6.13,6.14,6.11,0.49,0.03,5858.0,3589143.0,0.49,0.1,,
2026-01-20 10:05:00,6.14,6.13,6.14,6.12,0.0,0.0,3451.0,2116290.0,0.33,0.06,,
2026-01-20 10:10:00,6.13,6.13,6.14,6.12,0.0,0.0,2317.0,1421557.0,0.33,0.04,,
2026-01-20 10:15:00,6.14,6.13,6.14,6.12,0.0,0.0,1515.0,928719.0,0.33,0.03,,
2026-01-20 10:20:00,6.13,6.11,6.13,6.11,-0.33,-0.02,1554.0,950812.0,0.33,0.03,,
2026-01-20 10:25:00,6.12,6.1,6.13,6.1,-0.16,-0.01,3232.0,1976611.0,0.49,0.06,,
2026-01-20 10:30:00,6.11,6.11,6.11,6.1,0.16,0.01,533.0,325385.0,0.16,0.01,,
2026-01-20 10:35:00,6.1,6.11,6.11,6.09,0.0,0.0,2595.0,1583188.0,0.33,0.05,,
2026-01-20 10:40:00,6.11,6.12,6.12,6.11,0.16,0.01,1295.0,791625.0,0.16,0.02,,
2026-01-20 10:45:00,6.11,6.11,6.12,6.11,-0.16,-0.01,846.0,516908.0,0.16,0.01,,
